Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
About Time,Richard Curtis,Male,56,,,,Richard Curtis,Male,56,,,,,,,,,,,,,,,
Captain Phillips,Paul Greengrass,Male,58,,,,Billy Ray,Male,51,,,,,,,,,,,,,,,
Despicable Me 2,Pierre Coffin,Male,46,Chris Renaud,Male,46,Cinco Paul,Male,49,Ken Daurio,Male,53,,,,,,,,,,,,
Don Jon,Joseph Gordon-Levitt,Male,32,,,,Joseph Gordon-Levitt,Male,32,,,,,,,,,,,,,,,
Escape Plan,Mikael Håfström,Male,53,,,,"Miles Chapman (screenplay), Jason Keller (story)",Male,?,Jason Keller,Male,38,,,,,,,,,,,,
Fast & Furious 6,Justin Lin,Male,41,,,,Chris Morgan,Male,46,Gary Scott Thompson,Male,?,,,,,,,,,,,,
Her,Spike Jonze,Male,44,,,,Spike Jonze,Male,44,,,,,,,,,,,,,,,
Iron Man 3,Shane Black,Male,51,,,,Drew Pearce,Male,37,Shane Black,Male,51,,,,,,,,,,,,
Kick-Ass 2,Jeff Wadlow,Male,37,,,,Jeff Wadlow,Male,37,,,,,,,,,,,,,,,
Man of Steel,Zack Snyder,Male,47,,,,David S. Goyer,Male,47,,,,,,,,,,,,,,,
Monsters University,Dan Scanlon,Male,36,,,,Dan Scanlon,Male,36,Robert L. Baird,Male,49,Daniel Gerson,Male,46,,,,,,,,,
Now You See Me,Louis Leterrier,Male,40,,,,Ed Solomon,Male,52,Boaz Yakin,?,?,Edward Ricourt,?,?,,,,,,,,,
Oblivion,Joseph Kosinski,Male,38,,,,Karl Gajdusek,Male,46,Michael Arndt,Male,42,,,,,,,,,,,,
Olympus Has Fallen,Antoine Fuqua,Male,47,,,,Creighton Rothenberger,Male,40,Katrin Benedikt,Female,35,,,,,,,,,,,,
Pacific Rim,Guillermo del Toro,Male,48,,,,Travis Beacham,Male,33,Guillermo del Toro,Male,48,,,,,,,,,,,,
Prisoners,Denis Villeneuve,Male,45,,,,Aaron Guzikowski,Male,39,,,,,,,,,,,,,,,
Snowpiercer,Bong Joon-ho,Male,44,,,,Bong Joon-ho,Male,44,Kelly Masterson,Male,?,,,,,,,,,,,,
The Hangover Part III,Todd Phillips,Male,42,,,,Todd Phillips,Male,42,Craig Mazin,Male,42,,,,,,,,,,,,
The Purge,James DeMonaco,Male,43,,,,James DeMonaco,Male,43,,,,,,,,,,,,,,,
The Secret Life of Walter Mitty,,Male,48,,,,Steve Conrad,Male,45,,,,,,,,,,,,,,,
The Wolverine,James Mangold,Male,49,,,,Mark Bomback,Male,?,Scott Frank,Male,53,,,,,,,,,,,,
The World's End,Edgar Wright,Male,39,,,,Edgar Wright,Male,39,Simon Pegg,Male,43,,,,,,,,,,,,
This Is the End,Seth Rogen,Male,31,Evan Goldberg,Male,31,Seth Rogen,Male,31,Evan Goldberg,Male,31,,,,,,,,,,,,
Warm Bodies,Jonathan Levine,Male,36,,,,Jonathan Levine,Male,36,Isaac Marion,Male,?,,,,,,,,,,,,
We're the Millers,Rawson Marshall Thurber,Male,38,,,,Bob Fisher,Male,?,Steve Faber,Male,?,Sean Anders,Male,40,John Morris,Male,?,,,,,,
22 Jump Street,Phil Lord,Male,38,Christopher Miller,Male,38,Michael Bacall,Male,41,Oren Uziel,Male,?,Rodney Rothman,Male,?,,,,,,,,,
Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,Male,51,,,,Alejandro G. Iñárritu,Male,51,Nicolás Giacobone,Male,39,Alexander Dinelaris Jr.,Male,45,Armando Bó,Male,39,,,,,,
Boyhood,Richard Linklater,Male,54,,,,Richard Linklater,Male,54,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,Anthony Russo,Male,44,Joe Russo,Male,43,Christopher Markus,Male,44,Stephen McFeely,Male,44,,,,,,,,,,,,
Dawn of the Planet of the Apes,Matt Reeves,Male,48,,,,Mark Bomback,Male,?,Rick Jaffa,Male,58,Amanda Silver,Female,50,,,,,,,,,
Edge of Tomorrow,Doug Liman,Male,48,,,,Christopher McQuarrie,Male,45,Jez Butterworth,Male,45,John-Henry Butterworth,Male,44,,,,,,,,,
Ex Machina,Alex Garland,Male,43,,,,Alex Garland,Male,43,,,,,,,,,,,,,,,
Godzilla,Gareth Edwards,Male,38,,,,Max Borenstein,Male,?,Dave Callaham,Male,36,Frank Darabont,Male,55,,,,,,,,,
Gone Girl,David Fincher,Male,52,,,,Gillian Flynn,Female,43,,,,,,,,,,,,,,,
Interstellar,Christopher Nolan,Male,44,,,,Jonathan Nolan,Male,38,Christopher Nolan,Male,44,,,,,,,,,,,,
It Follows,David Robert Mitchell,Male,39,,,,David Robert Mitchell,Male,40,,,,,,,,,,,,,,,
John Wick,Chad Stahelski,Male,46,David Leitch,Male,38,Derek Kolstad,Male,?,,,,,,,,,,,,,,,
Kingsman: The Secret Service,Matthew Vaughn,Male,43,,,,Jane Goldman,Female,44,Matthew Vaughn,Male,43,,,,,,,,,,,,
Lucy,Luc Besson,Male,55,,,,Luc Besson,Male,55,,,,,,,,,,,,,,,
Neighbors,Nicholas Stoller,Male,38,,,,Andrew J. Cohen,Male,?,Brendan O'Brien,Male,?,,,,,,,,,,,,
Nightcrawler,Dan Gilroy,Male,45,,,,Dan Gilroy,Male,55,,,,,,,,,,,,,,,
