Title,Number of Oscar Nominations,Number of Oscar Wins
A Star Is Born,25,3
Glass,1,1
Ghostbusters,2,0
RoboCop,3,1
The Mummy,1,0
Captain Phillips,6,0
Despicable Me 2,2,0
Prisoners,1,0
The Hunt,1,0
Her,5,1
Iron Man 3,1,0
Birdman or (The Unexpected Virtue of Ignorance),9,4
Boyhood,6,1
Whiplash,5,3
Gone Girl,1,0
Interstellar,5,1
Captain America: The Winter Soldier,1,0
Dawn of the Planet of the Apes,1,0
Nightcrawler,1,0
The Big Short,5,1
Creed,1,0
Room,4,1
Mad Max: Fury Road,10,6
Sicario,3,0
Fifty Shades of Grey,1,0
Spectre,1,1
Ex Machina,2,1
Manchester by the Sea,6,2
La La Land,14,6
Moonlight,8,3
Hell or High Water,4,0
Lion,6,0
Nocturnal Animals,1,0
Zootopia,1,1
Arrival,8,1
Suicide Squad,1,1
Sully,1,0
Doctor Strange,1,0
The Lobster,1,0
Get Out,4,1
Blade Runner 2049,5,2
Baby Driver,3,0
Wonder,1,0
War for the Planet of the Apes,1,0
Logan,1,0
Molly's Game,1,0
The Big Sick,1,0
Isle of Dogs,2,0
Spider-Man: Into the Spider-Verse,1,1
Black Panther,7,3
A Quiet Place,1,0
Avengers: Infinity War,1,0
Ready Player One,1,0
Marriage Story,6,1
Toy Story 4,2,1
Avengers: Endgame,1,0
Knives Out,1,0
The Father,6,2
Nomadland,6,3
Promising Young Woman,5,1
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2,0
Soul,3,2
Eurovision Song Contest: The Story of Fire Saga,1,0
Tenet,2,1
Love and Monsters,1,0
CODA,3,3
Don't Look Up,4,0
No Time to Die,3,1
Free Guy,1,0
Shang-Chi and the Legend of the Ten Rings,1,0
Spider-Man: No Way Home,1,0
The Whale,3,2
Everything Everywhere All at Once,11,7
Black Panther: Wakanda Forever,5,1
Triangle of Sadness,3,0
Top Gun: Maverick,6,1
The Batman,3,0
