Title,Superhero ,Marvel or DC
About Time,FALSE,
Captain Phillips,FALSE,
Despicable Me 2,FALSE,
Don Jon,FALSE,
Escape Plan,FALSE,
Fast & Furious 6,FALSE,
Her,FALSE,
Iron Man 3,TRUE,Marvel
Kick-Ass 2,TRUE,Neither
Man of Steel,TRUE,DC
Monsters University,FALSE,
Now You See Me,FALSE,
Oblivion,FALSE,
Olympus Has Fallen,FALSE,
Pacific Rim,TRUE,Neither
Prisoners,FALSE,
Snowpiercer,FALSE,
The Hangover Part III,FALSE,
The Purge,FALSE,
The Secret Life of Walter Mitty,FALSE,
The Wolverine,TRUE,Marvel
The World's End,FALSE,
This Is the End,FALSE,
Warm Bodies,FALSE,
We're the Millers,FALSE,
22 Jump Street,FALSE,
Birdman or (The Unexpected Virtue of Ignorance),TRUE,Neither
Boyhood,FALSE,
Captain America: The Winter Soldier,TRUE,Marvel
Dawn of the Planet of the Apes,FALSE,
Edge of Tomorrow,FALSE,
Ex Machina,FALSE,
Godzilla,FALSE,
Gone Girl,FALSE,
Interstellar,FALSE,
It Follows,FALSE,
John Wick,FALSE,
Kingsman: The Secret Service,FALSE,
Lucy,FALSE,
Neighbors,FALSE,
Nightcrawler,FALSE,
Non-Stop,FALSE,
RoboCop,TRUE,Neither
The Amazing Spider-Man 2,TRUE,Marvel
The Babadook,FALSE,
The Equalizer,FALSE,
The Fault in Our Stars,FALSE,
The Interview,FALSE,
Transformers: Age of Extinction,TRUE,Neither
Whiplash,FALSE,
Ant-Man,TRUE,Marvel
Avengers: Age of Ultron,TRUE,Marvel
Chappie,FALSE,
Creed,FALSE,
Fantastic Four,TRUE,Marvel
Fast & Furious 7,FALSE,
Fifty Shades of Grey,FALSE,
Focus,FALSE,
Get Hard,FALSE,
Jurassic World,FALSE,
Mad Max: Fury Road,FALSE,
Maze Runner: The Scorch Trials,FALSE,
Mission: Impossible - Rogue Nation,FALSE,
Pitch Perfect 2,FALSE,
Room,FALSE,
San Andreas,FALSE,
Sicario,FALSE,
Southpaw,FALSE,
Spectre,FALSE,
Spy,FALSE,
Ted 2,FALSE,
The Big Short,FALSE,
The Gift,FALSE,
The Intern,FALSE,
The Lobster,FALSE,
10 Cloverfield Lane,FALSE,
Arrival,FALSE,
Batman v Superman: Dawn of Justice,TRUE,DC
Busanhaeng (Train to Busan),FALSE,
Captain America: Civil War,TRUE,Marvel
Deadpool,TRUE,Marvel
Doctor Strange,TRUE,Marvel
Don't Breathe,FALSE,
Finding Dory,FALSE,
Ghostbusters,FALSE,
Hell or High Water,FALSE,
Jason Bourne,FALSE,
Kimi no na wa (Your Name),FALSE,
La La Land,FALSE,
