Title,Theatrical Distributor,Category
The World's End,Focus Features,Division of Major
Promising Young Woman,Focus Features,Division of Major
Nocturnal Animals,Focus Features,Division of Major
Birdman or (The Unexpected Virtue of Ignorance),Fox Searchlight,Division of Major
Isle of Dogs,Fox Searchlight,Division of Major
Ready or Not,Fox Searchlight,Division of Major
Nomadland,Searchlight Pictures,Division of Major
The Menu,Searchlight Pictures,Division of Major
The Father,Sony Pictures Classics,Division of Major
Brahmastra Part One: Shiva,Fox Star India,Foreign Studio
Busanhaeng (Train to Busan),Next Entertainment World,Foreign Studio
365 dni,Next Film,Foreign Studio
Kimi no na wa (Your Name),Toho,Foreign Studio
The Babadook,Umbrella,Foreign Studio
Radhe,Zee,Foreign Studio
The Wolverine,20th Century Fox,Major (Big 5)
The Secret Life of Walter Mitty,20th Century Fox,Major (Big 5)
Dawn of the Planet of the Apes,20th Century Fox,Major (Big 5)
Gone Girl,20th Century Fox,Major (Big 5)
The Fault in Our Stars,20th Century Fox,Major (Big 5)
Kingsman: The Secret Service,20th Century Fox,Major (Big 5)
Spy,20th Century Fox,Major (Big 5)
Maze Runner: The Scorch Trials,20th Century Fox,Major (Big 5)
Fantastic Four,20th Century Fox,Major (Big 5)
Deadpool,20th Century Fox,Major (Big 5)
Logan,20th Century Fox,Major (Big 5)
War for the Planet of the Apes,20th Century Fox,Major (Big 5)
Kingsman: The Golden Circle,20th Century Fox,Major (Big 5)
Deadpool 2,20th Century Fox,Major (Big 5)
Red Sparrow,20th Century Fox,Major (Big 5)
Free Guy,20th Century Studios,Major (Big 5)
Barbarian,20th Century Studios,Major (Big 5)
Transformers: Age of Extinction,Paramount Pictures,Major (Big 5)
Interstellar,Paramount Pictures,Major (Big 5)
Mission: Impossible - Rogue Nation,Paramount Pictures,Major (Big 5)
The Big Short,Paramount Pictures,Major (Big 5)
Arrival,Paramount Pictures,Major (Big 5)
10 Cloverfield Lane,Paramount Pictures,Major (Big 5)
Transformers: The Last Knight,Paramount Pictures,Major (Big 5)
Baywatch,Paramount Pictures,Major (Big 5)
Ghost in the Shell,Paramount Pictures,Major (Big 5)
Mission: Impossible - Fallout,Paramount Pictures,Major (Big 5)
A Quiet Place,Paramount Pictures,Major (Big 5)
Annihilation,Paramount Pictures,Major (Big 5)
Terminator: Dark Fate,Paramount Pictures,Major (Big 5)
Sonic the Hedgehog,Paramount Pictures,Major (Big 5)
Love and Monsters,Paramount Pictures,Major (Big 5)
A Quiet Place Part II,Paramount Pictures,Major (Big 5)
Top Gun: Maverick,Paramount Pictures,Major (Big 5)
Smile,Paramount Pictures,Major (Big 5)
The Lost City,Paramount Pictures,Major (Big 5)
Scream,Paramount Pictures,Major (Big 5)
Mother!,Paramount Pictures,Major (Big 5)
Captain Phillips,Sony Pictures,Major (Big 5)
This Is the End,Sony Pictures,Major (Big 5)
The Amazing Spider-Man 2,Sony Pictures,Major (Big 5)
22 Jump Street,Sony Pictures,Major (Big 5)
The Equalizer,Sony Pictures,Major (Big 5)
