Title,Theatrical Distributor,Maximum Theaters,Theatrical Engagements
Iron Man 3,Walt Disney,4253,26382
Despicable Me 2,Universal,4003,33528
Man of Steel,Warner Bros.,4207,21125
Monsters University,Walt Disney,4004,24656
Fast & Furious 6,Universal,3771,20731
We're the Millers,Warner Bros.,3445,31564
The Wolverine,20th Century Fox,3924,18417
Now You See Me,Lionsgate,3082,19412
The Hangover Part III,Warner Bros.,3565,15512
Captain Phillips,Sony Pictures,3143,23456
Pacific Rim,Warner Bros.,3285,14097
This Is the End,Sony Pictures,3055,17933
Olympus Has Fallen,FilmDistrict,3106,21351
Oblivion,Universal,3792,17538
Warm Bodies,Lionsgate,3009,16797
The Purge,Universal,2591,9330
Prisoners,Warner Bros.,3290,17651
The Secret Life of Walter Mitty,20th Century Fox,2922,11536
Kick-Ass 2,Universal,2945,8737
The World's End,Focus Features,1553,7296
Escape Plan,Lionsgate,2883,10590
Don Jon,Relativity,2422,9016
Captain America: The Winter Soldier,Walt Disney,3938,27560
Transformers: Age of Extinction,Paramount Pictures,4233,22124
Dawn of the Planet of the Apes,20th Century Fox,3969,21830
The Amazing Spider-Man 2,Sony Pictures,4324,22133
Godzilla,Warner Bros.,3952,20644
22 Jump Street,Sony Pictures,3426,22821
Interstellar,Paramount Pictures,3561,25371
Gone Girl,20th Century Fox,3284,26324
Neighbors,Universal,3311,20398
Lucy,Universal,3202,19513
The Fault in Our Stars,20th Century Fox,3340,17775
The Equalizer,Sony Pictures,3236,17285
Edge of Tomorrow,Warner Bros.,3505,17714
Non-Stop,Universal,3183,18771
RoboCop,Sony Pictures,3372,13721
John Wick,Lionsgate,2589,11816
Birdman or (The Unexpected Virtue of Ignorance),Fox Searchlight,1213,12048
Nightcrawler,Open Road,2766,12147
Her,Warner Bros.,2005,7480
Boyhood,IFC Films,775,6497
Jurassic World,Universal,4291,36528
Avengers: Age of Ultron,Walt Disney,4276,30109
Fast & Furious 7,Universal,4022,27789
Spectre,Sony Pictures,3929,23645
Mission: Impossible - Rogue Nation,Paramount Pictures,3988,27828
Pitch Perfect 2,Universal,3660,21228
Ant-Man,Walt Disney,3868,25916
Fifty Shades of Grey,Universal,3655,18340
San Andreas,Warner Bros.,3812,21999
Mad Max: Fury Road,Warner Bros.,3722,20865
Kingsman: The Secret Service,20th Century Fox,3282,24227
Spy,20th Century Fox,3715,21232
Creed,Warner Bros.,3502,19042
Get Hard,Warner Bros.,3212,18582
Maze Runner: The Scorch Trials,20th Century Fox,3792,19348
Ted 2,Universal,3448,12348
The Intern,Warner Bros.,3320,19850
The Big Short,Paramount Pictures,2529,13031
Fantastic Four,20th Century Fox,4004,14869
Focus,Warner Bros.,3323,14437
Southpaw,Weinstein Co.,2774,13963
Sicario,Lionsgate,2620,12257
The Gift,STX Entertainment,2503,13264
Chappie,Sony Pictures,3201,10944
Ex Machina,A24,2004,7616
Finding Dory,Walt Disney,4305,32649
Captain America: Civil War,Walt Disney,4226,25150
Deadpool,20th Century Fox,3856,29582
Zootopia,Walt Disney,3959,38728
